arxiv_id,authors,title,abstract,category
arXiv:2308.08809,"Shuta J. Tanaka, Kazumi Kashiyama, ",Testing a stochastic acceleration model of pulsar wind nebulae: Early evolution of a wind nebula associated with SN 1986J,"Over three thousand pulsars have been discovered, but none have been confirmed to be younger than a few hundred years. Observing a pulsar after a supernova explosion will help us understand the properties of newborn ones, including their capability to produce gamma-ray bursts and fast radio bursts. Here, the possible youngest pulsar wind nebula (PWN) at the center of the SN 1986J remnant is studied. We demonstrate that the 5 GHz flux of 'PWN 1986J', increasing with time, is consistent with a stochastic acceleration model of PWNe developed to explain the flat radio spectrum of the Crab Nebula. We obtain an acceleration time-scale of electrons/positrons and a decay time-scale of the turbulence responsible for the stochastic acceleration as about 10 and 70 years, respectively. Our findings suggest that efficient stochastic acceleration and rising radio/submm light curves are characteristic signatures of the youngest PWNe. Follow-up ${\it ALMA}$ observations of decades-old supernovae within a few tens of Mpc, including SN 1986J, are encouraged to reveal the origin of the flat radio spectrum of PWNe.",astro-ph.HE
arXiv:2308.07044,Fabian Schüssler et al.,Astro-COLIBRI: An Advanced Platform for Real-Time Multi-Messenger Astrophysics,"Observations of transient phenomena like Gamma-Ray Bursts (GRBs), Fast Radio Bursts (FRBs), stellar flares and explosions (novae and supernovae), combined with the detection of novel cosmic messengers like high-energy neutrinos and gravitational waves has revolutionized astrophysics over the last years. The discovery potential of both ulti-messenger and multi-wavelength follow-up observations as well as serendipitous observations could be maximized with a novel tool which allows for quickly acquiring an overview over relevant information associated with each new detection. Here we present Astro-COLIBRI, a novel and comprehensive platform for this challenge.   Astro-COLIBRI's architecture comprises a public RESTful API, real-time databases, a cloud-based alert system and a website as well as apps for iOS and Android as clients for users. Astro-COLIBRI evaluates incoming messages of astronomical observations from all available alert streams in real time, filters them by user specified criteria and puts them into their MWL and MM context. The clients provide a graphical representation with an easy to grasp summary of the relevant data to allow for the fast identification of interesting phenomena, provides an assessment of observing conditions at a large selection of observatories around the world, and much more.   Here the key features of Astro-COLIBRI are presented. We outline the architecture, summarize the used data resources, and provide examples for applications and use cases. Focussing on the high-energy domain, we'll discuss the use of the platform in searches for high-energy gamma-ray counterparts to high-energy neutrinos, gamma-ray bursts and gravitational waves.",astro-ph.IM
arXiv:2308.06816,Myles B. Sherman et al.,Deep Synoptic Array Science: Implications of Faraday Rotation Measures of Localized Fast Radio Bursts,"Faraday rotation measures (RMs) of fast radio bursts (FRBs) offer the prospect of directly measuring extragalactic magnetic fields. We present an analysis of the RMs of ten as yet non-repeating FRBs detected and localized to host galaxies by the 110-antenna Deep Synoptic Array (DSA-110). We combine this sample with published RMs of 15 localized FRBs, nine of which are repeating sources. For each FRB in the combined sample, we estimate the host-galaxy dispersion measure (DM) contributions and extragalactic RM. We find compelling evidence that the extragalactic components of FRB RMs are often dominated by contributions from the host-galaxy interstellar medium (ISM). Specifically, we find that both repeating and as yet non-repeating FRBs show a correlation between the host-DM and host-RM in the rest frame, and we find an anti-correlation between extragalactic RM (in the observer frame) and redshift for non-repeaters, as expected if the magnetized plasma is in the host galaxy. Important exceptions to the ISM origin include a dense, magnetized circum-burst medium in some repeating FRBs, and the intra-cluster medium (ICM) of host or intervening galaxy clusters. We find that the estimated ISM magnetic-field strengths, $\bar{B}_{||}$, are characteristically larger than those inferred from Galactic radio pulsars. This suggests either increased ISM magnetization in FRB hosts in comparison with the Milky Way, or that FRBs preferentially reside in regions of increased magnetic-field strength within their hosts.",astro-ph.HE
arXiv:2308.06813,Myles B. Sherman et al.,Deep Synoptic Array Science: Polarimetry of 25 New Fast Radio Bursts Provides Insights into their Origins,"We report on a full-polarization analysis of the first 25 as yet non-repeating FRBs detected at 1.4 GHz by the 110-antenna Deep Synoptic Array (DSA-110) during commissioning observations. We present details of the data-reduction, calibration, and analysis procedures developed for this novel instrument. The data have 32 $\mu$s time resolution and sensitivity to Faraday rotation measures (RMs) between $\pm10^{6}$ rad m$^{-2}$. RMs are detected for 20 FRBs with magnitudes ranging from $4-4670$ rad m$^{-2}$. $9/25$ FRBs are found to have high ($\ge 70\%$) linear-polarization fractions. The remaining FRBs exhibit significant circular polarization ($3/25$), or are either partially depolarized ($8/25$) or unpolarized ($5/25$). We investigate the depolarization mechanism, disfavoring stochastic RM variations within a scattering screen as a dominant cause. Polarization-state and possible RM variations are observed in the four FRBs with multiple sub-components, but only one other FRB shows a change in polarization state. We combine the DSA-110 sample with polarimetry of previously published FRBs, and compare the polarization properties of FRB sub-populations and FRBs with Galactic pulsars. Although FRBs are typically far more polarized than the average profiles of Galactic pulsars, and exhibit greater spread in polarization fractions than pulsar single pulses, we find a remarkable similarity between FRB polarization fractions and the youngest (characteristic ages $<10^{5}$ yr) pulsars. Our results support a scenario wherein FRB emission is intrinsically highly linearly polarized, and where propagation effects within progenitor magnetospheres can result in conversion to circular polarization and depolarization. Young pulsar emission and magnetospheric-propagation geometries may form a useful analogy for the origin of FRB polarization.",astro-ph.HE
arXiv:2308.06805,Marcelo V. dos Santos et al.,The BINGO Project IX: Search for Fast Radio Bursts -- A Forecast for the BINGO Interferometry System,"The Baryon Acoustic Oscillations (BAO) from Integrated Neutral Gas Observations (BINGO) radio telescope will use the neutral Hydrogen emission line to map the Universe in the redshift range $0.127 \le z \le 0.449$, with the main goal of probing BAO. In addition, the instrument optical design and hardware configuration support the search for Fast Radio Bursts (FRBs). In this work, we propose the use of a BINGO Interferometry System (BIS) including new auxiliary, smaller, radio telescopes (hereafter \emph{outriggers}). The interferometric approach makes it possible to pinpoint the FRB sources in the sky. We present here the results of several BIS configurations combining BINGO horns with and without mirrors ($4$ m, $5$ m, and $6$ m) and 5, 7, 9, or 10 for single horns. We developed a new {\tt Python} package, the {\tt FRBlip}, which generates synthetic FRB mock catalogs and computes, based on a telescope model, the observed signal-to-noise ratio (S/N) that we used to compute numerically the detection rates of the telescopes and how many interferometry pairs of telescopes (\emph{baselines}) can observe an FRB. FRBs observed by more than one baseline are the ones whose location can be determined. We thus evaluate the performance of BIS regarding FRB localization. We found that BIS will be able to localize 23 FRBs yearly with single horn outriggers in the best configuration (using 10 outriggers of 6 m mirrors), with redshift $z \leq 0.96$; the full localization capability depends on the number and the type of the outriggers. Wider beams are best to pinpoint FRB sources because potential candidates will be observed by more baselines, while narrow beams look deep in redshift. The BIS can be a powerful extension of the regular BINGO telescope, dedicated to observe hundreds of FRBs during Phase 1. Many of them will be well localized with a single horn + 6 m dish as outriggers.(Abridged)",astro-ph.IM
arXiv:2308.05918,"Jun-Jie Wei, Fulvio Melia, ",Investigating Cosmological Models and the Hubble Tension using Localized Fast Radio Bursts,"We use the dispersion measure (DM) and redshift measurements of 24 localized fast radio bursts (FRBs) to compare cosmological models and investigate the Hubble tension. Setting a flat prior on the DM contribution from the Milky Way's halo, $\mathrm{DM_{halo}^{MW}}\in[5,\;80]\;\mathrm{pc\;cm^{-3}}$, the best fit for flat $\Lambda$CDM is obtained with a Hubble constant $H_0=95.8^{+7.8}_{-9.2}\;\mathrm{km\;s^{-1}\;Mpc^{-1}}$ and a median matter density $\Omega_{\mathrm{m}}\approx0.66$. The best fit for the $R_{\mathrm{h}}=ct$ universe is realized with $H_0=94.2^{+5.6}_{-6.2}\;\mathrm{km\;s^{-1}\;Mpc^{-1}}$. We emphasize that the $H_0$ measurement depends sensitively on the $\mathrm{DM_{halo}^{MW}}$ prior. Since flat $\Lambda$CDM has one more free parameter, $R_{\mathrm{h}}=ct$ is favored by the Bayesian Information Criterion (BIC) with a likelihood of $\sim73\%$ versus $\sim27\%$. Through simulations, we find that if the real cosmology is $\Lambda$CDM, a sample of $\sim1,150$ FRBs in the redshift range $0<z<3$ would be sufficient to rule out $R_{\mathrm{h}}=ct$ at a $3\sigma$ confidence level, while $\sim550$ FRBs would be necessary to rule out $\Lambda$CDM if the real cosmology is instead $R_{\mathrm{h}}=ct$. The required sample sizes are different, reflecting the fact that the BIC imposes a severe penalty on the model with more free parameters. We further adopt a straightforward method of deriving an upper limit to $H_{0}$, without needing to consider the poorly known probability distribution of the DM contributed by the host galaxy. The theoretical DM contribution from the intergalactic medium ($\mathrm{DM_{IGM}}$) at any $z$ is proportional to $H_0$. Thus, requiring the extragalactic $\mathrm{DM_{ext}}$ to be larger than $\mathrm{DM_{IGM}}$ delimits $H_0$ to the upside. Assuming flat $\Lambda$CDM, we have $H_0<89.0\;\mathrm{km\;s^{-1}\;Mpc^{-1}}$ at a 95\% confidence level.",astro-ph.CO
arXiv:2308.04298,L. Rhodes et al.,FRB 20121102A: images of the bursts and the varying radio counterpart,"As more Fast Radio Bursts (FRBs) are being localised, we are learning that some fraction have persistent radio sources (PRSs). Such a discovery motivates an improvement in our understanding of the nature of those counterparts, the relation to the bursts themselves and why only some FRBs have PRSs. We report on observations made of FRB 20121102A with the MeerKAT radio telescope. Across five epochs, we detect the PRS associated with FRB 20121102A. Our observations are split into a cluster of four epochs (MJD 58732 - 58764) and a separate single epoch about 1000days later. The measured flux density is constant across the first four observations but then decays by more than one-third in the final observation. Our observations on MJD 58736 coincided with the detections of 11 bursts from FRB 20121102A by the MeerTRAP backend, seven of which we detected in the image plane. We discuss the importance of image plane detections when considering the commensal transient searches being performed with MeerKAT and other radio facilities. We find that MeerKAT is so sensitive that within a two-second image, we can detect any FRB with a flux density above 2.4mJy at 1.3GHz and so could localise every FRB that has been detected by CHIME to date.",astro-ph.HE
arXiv:2308.00336,Jiaying Xu et al.,Blinkverse: A Database of Fast Radio Bursts,"The volume of research on fast radio bursts (FRBs) observation have been seeing a dramatic growth. To facilitate the systematic analysis of the FRB population, we established a database platform, Blinkverse (https://blinkverse.alkaidos.cn), as a central inventory of FRBs from various observatories and with published properties, particularly dynamic spectra from FAST, CHIME, GBT, Arecibo, etc. Blinkverse thus not only forms a superset of FRBCAT, TNS, and CHIME/FRB, but also provides convenient access to thousands of FRB dynamic spectra from FAST, some of which were not available before. Blinkverse is regularly maintained and will be updated by external users in the future. Data entries of FRBs can be retrieved through parameter searches through FRB location, fluence, etc., and their logical combinations. Interactive visualization was built into the platform. We analyzed the energy distribution, period analysis, and classification of FRBs based on data downloaded from Blinkverse. The energy distributions of repeaters and non-repeaters are found to be distinct from one another.",astro-ph.HE
arXiv:2307.16355,Xian Zhang et al.,Temporal and Spectral Properties of the Persistent Radio Source Associated with FRB 20190520B with the VLA,"Among more than 800 known fast radio bursts (FRBs), only two, namely FRB 20121102A and FRB 20190520B, are confirmed to be associated with a persistent radio sources (PRS). Here we report evidence of apparent temporal variability in the PRS associated with the bursting FRB 20190520B based on the Karl G. Jansky Very Large Array (VLA) observations taken in 2020 and 2021. Based on the analysis of epoch-to-epoch variability of the PRS at L, S, C, and X band in 1-12 GHz, we detected not only overall marginal variability but also a likely radio flux decrease between the observations taken in 2020 and 2021 at 3 GHz. Assuming no spectral variation in the PRS during these observations, we found the evidence for an overall broadband radio flux decrease by about 20 percent between the 2020 and the 2021 observations, suggesting that the PRS probably evolves on the yearly time scale. If we attribute the marginal variability at 3 GHz as intrinsic or due to scintillation, the size of potential variable component of the PRS is constrained to be sub-parsec. On the other hand, the size of the PRS can be also constrained to be larger than about 0.22 parsec from the averaged radio spectrum and the integrated radio luminosity in the 1-12 GHz band based on equipartition and self-absorption arguments. We discuss potential origins of the PRS and suggest that a scenario of accreting compact objects might be able to explain the temporal and spectral properties of the PRS. Confirmation of variability or flux decline of the PRS would be critical to our understanding of the PRS and its relation to the bursting source.",astro-ph.HE
arXiv:2307.16124,Weiwei Zhu et al.,A radio pulsar phase from SGR J1935+2154 provides clues to the magnetar FRB mechanism,"The megajansky radio burst, FRB 20200428, and other bright radio bursts detected from the Galactic source SGR J1935+2154 suggest that magnetars can make fast radio bursts (FRBs), but the emission site and mechanism of FRB-like bursts are still unidentified. Here we report the emergence of a radio pulsar phase of the magnetar five months after FRB 20200428. 795 pulses were detected in 16.5 hours over 13 days by the Five-hundred-meter Aperture Spherical Radio telescope, with luminosities about eight decades fainter than FRB 20200428. The pulses were emitted in a narrow phase window anti-aligned with the X-ray pulsation profile observed by the X-ray telescopes. The bursts, conversely, appear in random phases. This dichotomy suggests that radio pulses originate from a fixed region within the magnetosphere, but bursts occur in random locations and are possibly associated with explosive events in a dynamically evolving magnetosphere. This picture reconciles the lack of periodicity in cosmological repeating FRBs within the magnetar engine model.",astro-ph.HE
arXiv:2307.15740,Claire S. Ye et al.,Single Millisecond Pulsars from Dynamical Interaction Processes in Dense Star Clusters,"Globular clusters (GCs) are particularly efficient at forming millisecond pulsars. Among these pulsars, about half lack a companion star, a significantly higher fraction than in the Galactic field. This fraction increases further in some of the densest GCs, especially those that have undergone core collapse, suggesting that dynamical interaction processes play a key role. For the first time, we create N-body models that reproduce the ratio of single-to-binary pulsars in Milky-Way-like GCs. We focus especially on NGC 6752, a typical core-collapsed cluster with many observed millisecond pulsars. Previous studies suggested that an increased rate of neutron star binary disruption in the densest clusters could explain the overabundance of single pulsars in these systems. Here, we demonstrate that binary disruption is ineffective and instead we propose that two additional dynamical processes play the dominant role: (1) tidal disruption of main-sequence stars by neutron stars; and (2) gravitational collapse of heavy white-dwarf-binary merger remnants. Neutron stars formed through these processes may also be associated with fast radio bursts similar to those observed recently in an extragalactic GC.",astro-ph.HE
arXiv:2307.15294,Pawan Kumar et al.,Constraining the FRB mechanism from scintillation in the host galaxy,"We propose an observational test to distinguish between the two primary classes of Fast Radio Burst (FRB) radiation models. For an extended FRB source, the strength of spectral amplitude modulation caused by scintillation, which we refer to as the scintillation index, across the measured frequency band is much smaller than the 100% variations expected for a point source. FRB sources easily satisfy the point-source size requirement for scintillation from the Milky Way ISM plasma but may be large enough for certain classes of proposed FRB mechanisms to quench scintillation from plasma in the host galaxy. An FRB source of size smaller than the diffractive scale for scattering in the ISM of the host galaxy, which is about 10$^9$ cm at 1 GHz, would be considered point-like for the purpose of scintillation. The lateral size of the source for a magnetospheric origin of FRBs is expected to be $\lesssim 10^7$ cm, while it is $\gtrsim 10^9$ cm for far-away models, i.e., models in which the emission is generated far from the central engine. Therefore, scintillation in the host galaxy is well-suited for distinguishing between these two types of FRB models. Scatter-broadening of an FRB pulse by plasma in the host galaxy by $\delta t_s$ causes stochastic flux variation with frequency on a scale of $\sim (2\pi\delta t_s)^{-1}$. Determining the scintillation index for an FRB with scatter broadening identified to be from the host galaxy would provide a strong constraint on the FRB radiation mechanism. Since the scintillation bandwidth scales with frequency as $\sim \nu^{4.4}$, it may be observationally easier to determine the flux variation amplitude at a few GHz.",astro-ph.HE
arXiv:2307.14702,Lachlan Marnoch et al.,The unseen host galaxy and high dispersion measure of a precisely-localised Fast Radio Burst suggests a high-redshift origin,"FRB 20210912A is a fast radio burst (FRB), detected and localised to sub-arcsecond precision by the Australian Square Kilometre Array Pathfinder. No host galaxy has been identified for this burst despite the high precision of its localisation and deep optical and infrared follow-up, to 5-$\sigma$ limits of $R=26.7$ mag and $K_\mathrm{s}=24.9$ mag with the Very Large Telescope. The combination of precise radio localisation and deep optical imaging has almost always resulted in the secure identification of a host galaxy, and this is the first case in which the line-of-sight is not obscured by the Galactic disk. The dispersion measure of this burst, $\mathrm{DM_{FRB}}=1233.696\pm0.006~\mathrm{pc}\ \mathrm{cm}^{-3}$, allows for a large source redshift of $z>1$ according to the Macquart relation. It could thus be that the host galaxy is consistent with the known population of FRB hosts, but is too distant to detect in our observations ($z>0.7$ for a host like that of the first repeating FRB source, FRB 20121102A); that it is more nearby with a significant excess in $\mathrm{DM_{host}}$, and thus dimmer than any known FRB host; or, least likely, that the FRB is truly hostless. We consider each possibility, making use of the population of known FRB hosts to frame each scenario. The fact of the missing host has ramifications for the FRB field: even with high-precision localisation and deep follow-up, some FRB hosts may be difficult to detect, with more distant hosts being the less likely to be found. This has implications for FRB cosmology, in which high-redshift detections are valuable.",astro-ph.HE
